Cyber Resilience Assessment Framework (C-RAF) 2.0 Control Principle,,,,,
,,,,,
REF,Domain,Component,Sub-component,Maturity Level,Control Principle
322,Domain 4 Detection,4.4 Threat monitoring and analysis,N/A,Advanced,Threat intelligence is viewed within the context of the institution’s risk profile and risk appetite to prioritise mitigating actions in anticipation of threats.
323,Domain 4 Detection,4.4 Threat monitoring and analysis,N/A,Advanced,Threat intelligence is used to update the institution’s IT security architecture and IT configuration standards.
324,Domain 4 Detection,4.4 Threat monitoring and analysis,N/A,Advanced,"The institution uses multiple sources of intelligence, correlated log analysis, alerts, internal traffic flows, and information about geopolitical events to predict potential future attacks and attack trends."
325,Domain 5 Response and recovery,5.1 Governance and preparation of incident response and recovery,5.1.1 Governance of incident response and recovery,Baseline,"Cyber incident (e.g. service disruption, data alteration, data leakage, system intrusion) response and recovery is viewed as an institution-wide business imperative, with strategic objectives established and maintained by Senior Management in an ongoing basis."
326,Domain 5 Response and recovery,5.1 Governance and preparation of incident response and recovery,5.1.1 Governance of incident response and recovery,Baseline,"The Board is responsible for overseeing the management of cyber incident response and recovery (CIRR) activities, while Senior Management oversees the implementation of the policies, procedures and controls that support the CIRR process in accordance to the institution’s needs."
327,Domain 5 Response and recovery,5.1 Governance and preparation of incident response and recovery,5.1.1 Governance of incident response and recovery,Baseline,"Senior Management engages with business and technical functions within the organisation to develop, exercise, maintain, manage, support and improve CIRR objectives and plans consistent with the institution’s needs."
328,Domain 5 Response and recovery,5.1 Governance and preparation of incident response and recovery,5.1.1 Governance of incident response and recovery,Baseline,"Senior Management sponsorship is obtained, widely communicated, and their guidance readily accessible across the institution, thereby promoting awareness and instilling the appropriate culture (e.g. staff are encouraged to report or escalate cyber incidents to management) and accountability for success."
329,Domain 5 Response and recovery,5.1 Governance and preparation of incident response and recovery,5.1.1 Governance of incident response and recovery,Baseline,Clear accountability and responsibilities are defined to ensure that the appropriate stakeholders across the institution are engaged should a cyber-incident occurs.
330,Domain 5 Response and recovery,5.1 Governance and preparation of incident response and recovery,5.1.1 Governance of incident response and recovery,Baseline,"Relevant stakeholders are aware of their designated accountabilities, responsibilities, and roles in the event that the cyber incident response and recovery plans are triggered and have sufficient expertise and training to discharge the duties in the event of a crisis."
331,Domain 5 Response and recovery,5.1 Governance and preparation of incident response and recovery,5.1.1 Governance of incident response and recovery,Baseline,"Processes are in place to describe the involvement of the institution’s functions in the cyber incident management process and define the procedures on the proper reaction and response to cyber incidents, including analysis, mitigation, restoration, digital forensics, improvement, coordination, and communication, as well as the involvement of the institution’s functions in the cyber incident management process."
332,Domain 5 Response and recovery,5.1 Governance and preparation of incident response and recovery,5.1.1 Governance of incident response and recovery,Intermediate,"Due diligence has been performed on technical sources, consultants, or forensic service firms that could be called upon to assist the institution during or following an incident."
333,Domain 5 Response and recovery,5.1 Governance and preparation of incident response and recovery,5.1.1 Governance of incident response and recovery,Intermediate,Direct cooperative or contractual agreements are in place with an incident response organisation(s) or provider(s) to assist rapidly with mitigation efforts.
334,Domain 5 Response and recovery,5.1 Governance and preparation of incident response and recovery,5.1.1 Governance of incident response and recovery,Intermediate,"Any changes to the processes, systems/applications or the access of the entitlements necessary for cyber incident management are reviewed by management for formal approval before implementation."
335,Domain 5 Response and recovery,5.1 Governance and preparation of incident response and recovery,5.1.1 Governance of incident response and recovery,Advanced,"Methods for responding to and recovering from cyber incidents are tightly woven throughout the business units’ disaster recovery, business continuity, and crisis management plans."
336,Domain 5 Response and recovery,5.1 Governance and preparation of incident response and recovery,5.1.2 Incident response and recovery preparation,Baseline,The Board and Senior Management participate in regular cyber threat simulations to be educated on common cyber threat scenarios and create experience for them to better understand the steps they can take to protect their institution under time constraints and with threat intelligence.
337,Domain 5 Response and recovery,5.1 Governance and preparation of incident response and recovery,5.1.2 Incident response and recovery preparation,Baseline,"Plans and playbooks that provide well-defined, organised approaches for CIRR activities, including criteria for activating the measures, are established to expedite the institution’s response. Business impact analysis, business continuity, disaster recovery, crisis management plans, and data backup programmes are in place to recover critical activities and operations following a cyber incident and to continue critical activity in accordance with recovery objective(s) (e.g. RPO, RTO), restoration priorities and metrics."
338,Domain 5 Response and recovery,5.1 Governance and preparation of incident response and recovery,5.1.2 Incident response and recovery preparation,Baseline,Institutions’ plans and playbooks include severe but plausible cyber scenarios and stress tests that are based on high-impact-low-probability events and include scenarios that may result in failure.
339,Domain 5 Response and recovery,5.1 Governance and preparation of incident response and recovery,5.1.2 Incident response and recovery preparation,Baseline,Backup facilities are diversified geographically and isolated through network and system segmentation to avoid possible concentration risks.
340,Domain 5 Response and recovery,5.1 Governance and preparation of incident response and recovery,5.1.2 Incident response and recovery preparation,Baseline,"For institutions acquiring third-party services to augment their in-house cyber capabilities, clear records of the third-party service agreements detailing important information (e.g. scope of the service, the service providers’ contact information, service validity period and service levels) are maintained."
341,Domain 5 Response and recovery,5.1 Governance and preparation of incident response and recovery,5.1.2 Incident response and recovery preparation,Baseline,"Primary and alternate service provider(s) are pre-designated to ensure resiliency in the event that the former is unavailable to provide immediate support where applicable, such as in the case of a system-wide cyber incident."
342,Domain 5 Response and recovery,5.1 Governance and preparation of incident response and recovery,5.1.2 Incident response and recovery preparation,Intermediate,"Plans are in place (e.g. re-route or substitute critical functions and/or services that may be affected by a successful cyber attack) for the resumption of essential missions and business functions in accordance with recovery objective(s) (e.g. RPO, RTO) of contingency plan activation."
343,Domain 5 Response and recovery,5.1 Governance and preparation of incident response and recovery,5.1.2 Incident response and recovery preparation,Advanced,CIRR plans and playbooks cover actions to be taken during most critical period (i.e. initial hours and days of a cyber incident).
344,Domain 5 Response and recovery,5.1 Governance and preparation of incident response and recovery,5.1.2 Incident response and recovery preparation,Advanced,"Multiple systems, programmes, or processes are implemented within a comprehensive cyber resilience programme to sustain and recover operations from an array of potentially disruptive and destructive cyber incidents."
345,Domain 5 Response and recovery,5.1 Governance and preparation of incident response and recovery,5.1.2 Incident response and recovery preparation,Advanced,"Contingency plans include an estimate of the cost of recovering from information security and cyber incidents and take into account factors such as cost of recovery, regulator fines, customer protection services, lawsuits, reputational damage, stolen intellectual property, and so forth."
346,Domain 5 Response and recovery,5.1 Governance and preparation of incident response and recovery,5.1.2 Incident response and recovery preparation,Advanced,Dependencies in supply chain (e.g. third-party service providers) are addressed and the contingency measures with relevant service providers are tested.
347,Domain 5 Response and recovery,5.1 Governance and preparation of incident response and recovery,5.1.2 Incident response and recovery preparation,Advanced,Service level agreements with key performance indicators are established to ensure adequate reporting on cyber incident(s).
348,Domain 5 Response and recovery,"5.2 Analysis, mitigation, and restoration",5.2.1 Analysis,Baseline,A process is in place to identify cyber security incidents relevant to the institution.
349,Domain 5 Response and recovery,"5.2 Analysis, mitigation, and restoration",5.2.1 Analysis,Baseline,"A triage process is in place to classify cyber security incidents, prioritise incidents according to business impact, the type of incident, threat vectors, and repercussions, and assign incidents to relevant stakeholders in terms of their legitimacy, correctness, constituency origin, severity or impact."
350,Domain 5 Response and recovery,"5.2 Analysis, mitigation, and restoration",5.2.1 Analysis,Baseline,A severity assessment framework is established to help gauge the severity of the cyber incident.
351,Domain 5 Response and recovery,"5.2 Analysis, mitigation, and restoration",5.2.1 Analysis,Intermediate,Analysis of security incidents is performed in the early stages of an intrusion to minimise the potential impact of the incident on critical business processes.
352,Domain 5 Response and recovery,"5.2 Analysis, mitigation, and restoration",5.2.1 Analysis,Advanced,"Links and correlations between threat intelligence, network operations, and incident response allow for proactive response to potential incidents."
353,Domain 5 Response and recovery,"5.2 Analysis, mitigation, and restoration",5.2.1 Analysis,Advanced,Incident response and recovery objectives are in place to validate the institution’s ability to develop and execute plans to recover from known sophisticated attacks at other organisations.
354,Domain 5 Response and recovery,"5.2 Analysis, mitigation, and restoration",5.2.1 Analysis,Advanced,"Where applicable, third parties are involved to conduct the exercises to evaluate, from an attacker’s perspective, how its assets may be targeted, and validate that there are adequate fail-safes to minimise the impact on interconnectivity and dependencies on third parties in the event of response and recovery."
355,Domain 5 Response and recovery,"5.2 Analysis, mitigation, and restoration",5.2.2 Mitigation,Baseline,"A process is in place to help contain, control, and eradicate cyber incidents, thereby preventing further unauthorised access to sensitive information (e.g. customer information) and mitigating the potential impact."
356,Domain 5 Response and recovery,"5.2 Analysis, mitigation, and restoration",5.2.2 Mitigation,Baseline,"Processes are in place to identify qualified third-party cyber incident response and recovery experts and establish a retainer agreement to call upon them as needed to provide containment, investigation, eradication, mitigation, and recovery services."
357,Domain 5 Response and recovery,"5.2 Analysis, mitigation, and restoration",5.2.2 Mitigation,Baseline,Processes are in place to trigger the incident response programme when an incident occurs at a third-party.
358,Domain 5 Response and recovery,"5.2 Analysis, mitigation, and restoration",5.2.2 Mitigation,Intermediate,"Separate containment strategies are developed for different types of major cyber attack, with criteria documented clearly to facilitate decision making."
359,Domain 5 Response and recovery,"5.2 Analysis, mitigation, and restoration",5.2.2 Mitigation,Intermediate,Processes are in place to enable the effective and prompt execution of eradication plans.
360,Domain 5 Response and recovery,"5.2 Analysis, mitigation, and restoration",5.2.2 Mitigation,Intermediate,A process is in place to formally and informally share threat intelligence on cyber incidents and cyber best practices to facilitate cyber incident response and recovery.
361,Domain 5 Response and recovery,"5.2 Analysis, mitigation, and restoration",5.2.2 Mitigation,Advanced,Staff responsible for the incident management function collaborates effectively with staff responsible for the cyber threat intelligence function during an incident.
362,Domain 5 Response and recovery,"5.2 Analysis, mitigation, and restoration",5.2.2 Mitigation,Advanced,"Automated mechanisms are deployed to support the incident management, containment, eradication, and recovery process, where applicable."
363,Domain 5 Response and recovery,"5.2 Analysis, mitigation, and restoration",5.2.3 Restoration and quality assurance testing,Baseline,"Restoration activities are prioritised based on business, security and technical requirements with key milestones identified."
364,Domain 5 Response and recovery,"5.2 Analysis, mitigation, and restoration",5.2.3 Restoration and quality assurance testing,Baseline,"Deviations from approved and tested restoration procedures are risk assessed, tested and management approved before implementation where required."
365,Domain 5 Response and recovery,"5.2 Analysis, mitigation, and restoration",5.2.3 Restoration and quality assurance testing,Baseline,"All internal and external stakeholders are updated regularly and made aware of the conditions to be met, or restrictions, before resuming critical operations."
366,Domain 5 Response and recovery,"5.2 Analysis, mitigation, and restoration",5.2.3 Restoration and quality assurance testing,Baseline,"Processes are in place to ensure IT assets damaged by a cyber incident are quarantined, removed, disposed of, and/or replaced with minimal service disruption."
367,Domain 5 Response and recovery,"5.2 Analysis, mitigation, and restoration",5.2.3 Restoration and quality assurance testing,Baseline,Processes are in place to validate that systems are operating as per intended and without the vulnerabilities that led to the initial compromise.
368,Domain 5 Response and recovery,"5.2 Analysis, mitigation, and restoration",5.2.3 Restoration and quality assurance testing,Baseline,"Processes are in place to monitor external services, the network, and systems for abnormal activities during the restoration process for compromised IT assets."
369,Domain 5 Response and recovery,"5.2 Analysis, mitigation, and restoration",5.2.3 Restoration and quality assurance testing,Baseline,"Actions taken from the time the incident was detected to its final resolution are documented and timestamped. Tools and artefacts (e.g. scripts, configuration changes, etc.) used for restoration are recorded for future use or for the improvement of current process and/or systems."
370,Domain 5 Response and recovery,"5.2 Analysis, mitigation, and restoration",5.2.3 Restoration and quality assurance testing,Baseline,Business continuity and data recovery testing is conducted at least annually and involves collaboration with critical third parties where applicable.
371,Domain 5 Response and recovery,"5.2 Analysis, mitigation, and restoration",5.2.3 Restoration and quality assurance testing,Baseline,Regular testing of system and data integrity and recoverability from multiple copies of data backups is conducted to verify these data are accessible and usable.
372,Domain 5 Response and recovery,"5.2 Analysis, mitigation, and restoration",5.2.3 Restoration and quality assurance testing,Baseline,"Testing exercise objectives have been developed that determine the coverage of plans to be taken, readiness to execute them, and any corrective actions."
373,Domain 5 Response and recovery,"5.2 Analysis, mitigation, and restoration",5.2.3 Restoration and quality assurance testing,Intermediate,Processes are in place to ensure that restored IT assets are appropriately reconfigured and thoroughly tested before re-using in operations.
374,Domain 5 Response and recovery,"5.2 Analysis, mitigation, and restoration",5.2.3 Restoration and quality assurance testing,Intermediate,"Cyber incident escalations and resolutions are tracked and monitored, and updates are provided to the management regularly."
375,Domain 5 Response and recovery,"5.2 Analysis, mitigation, and restoration",5.2.3 Restoration and quality assurance testing,Intermediate,The institution’s critical online systems and processes are tested on their ability to withstand stresses for extended periods.
376,Domain 5 Response and recovery,"5.2 Analysis, mitigation, and restoration",5.2.3 Restoration and quality assurance testing,Intermediate,Resilience testing includes scenarios based on analysis and identification of realistic and highly likely new and emerging cyber threats.
377,Domain 5 Response and recovery,"5.2 Analysis, mitigation, and restoration",5.2.3 Restoration and quality assurance testing,Advanced,Comprehensive and coordinated exercises take place at least annually across all critical business functions to evaluate the effectiveness of incident response and recovery capabilities for widely reported and likely cyber incident scenarios.
378,Domain 5 Response and recovery,"5.2 Analysis, mitigation, and restoration",5.2.3 Restoration and quality assurance testing,Advanced,The exercise requires the operation of critical functions from the recovery site for sufficient time to gain assurance and confidence that it can support normal business operations.
379,Domain 5 Response and recovery,"5.2 Analysis, mitigation, and restoration",5.2.3 Restoration and quality assurance testing,Advanced,A process is in place to correct root causes for problems discovered during cybersecurity resilience testing.
380,Domain 5 Response and recovery,"5.2 Analysis, mitigation, and restoration",5.2.3 Restoration and quality assurance testing,Advanced,Cyber incident scenarios involving significant financial loss are used to stress test the cyber risk management.
381,Domain 5 Response and recovery,"5.2 Analysis, mitigation, and restoration",5.2.3 Restoration and quality assurance testing,Advanced,Testing is conducted on a risk-based approach to ensure the ability to shift business processes or functions between different processing centres or technology systems during cyber incidents without interruption to business or loss of productivity or data.
382,Domain 5 Response and recovery,5.3 Cyber forensics,5.3.1 Process of collecting evidence,Baseline,Processes are in place to properly collect and preserve the integrity of the digital and forensic evidence prior to performing analysis.
383,Domain 5 Response and recovery,5.3 Cyber forensics,5.3.1 Process of collecting evidence,Baseline,"Formal, documented procedures are in place to guide the proper collection and preservation of digital and forensic evidence."
384,Domain 5 Response and recovery,5.3 Cyber forensics,5.3.1 Process of collecting evidence,Intermediate,There are processes to capture the cryptographic hash of the electronic files.
385,Domain 5 Response and recovery,5.3 Cyber forensics,5.3.1 Process of collecting evidence,Intermediate,"Generally accepted and appropriate forensic procedures, including chain of custody, are used to gather and present evidence to support potential legal action."
386,Domain 5 Response and recovery,5.3 Cyber forensics,5.3.1 Process of collecting evidence,Intermediate,"The information system uses internal system clocks to generate timestamps for audit records, and the audit records are sufficiently granular and synchronised."
387,Domain 5 Response and recovery,5.3 Cyber forensics,5.3.2 Types of evidence to be collected,Baseline,"The digital and forensic evidence collected contains information that, at minimum, establishes what type of event occurred, when the event occurred, where the event occurred, the source of the event, the outcome of the event, and the identity of any user or subject associated with the event."
388,Domain 5 Response and recovery,5.3 Cyber forensics,5.3.2 Types of evidence to be collected,Baseline,"The range of digital and forensic evidence varies based on the systems implemented in the institution on a risk-based approach. Examples of digital and forensic evidence includes system logs, operating system configuration baselines, security events, and so forth."
389,Domain 5 Response and recovery,5.3 Cyber forensics,5.3.2 Types of evidence to be collected,Baseline,"The range of digital and forensic evidence is supported by a rationale for how these are adequate, to support after-the-fact investigations of security incidents."
390,Domain 5 Response and recovery,5.3 Cyber forensics,5.3.2 Types of evidence to be collected,Intermediate,"There are regular reviews and updates of the range of digital and forensic evidence collected (e.g. web or mobile application, e-mail, system, database, network, and from other areas deemed applicable by the institution based on its IT ecosystem, risk profile, etc.), including the retention period where applicable."
391,Domain 5 Response and recovery,5.3 Cyber forensics,5.3.2 Types of evidence to be collected,Advanced,"Reviews and updates of the range of digital and forensic evidence are risk-based and triggered upon major changes to the information systems, or newly emerging cyber threats and vulnerabilities."
392,Domain 5 Response and recovery,5.3 Cyber forensics,5.3.3 Process of investigating and analysing evidence,Baseline,"Security investigations, forensic analysis, and remediation are performed by qualified staff or third parties."
393,Domain 5 Response and recovery,5.3 Cyber forensics,5.3.3 Process of investigating and analysing evidence,Baseline,Root cause analyses are performed to identify the source or perpetrator of a cyber security incident.
394,Domain 5 Response and recovery,5.3 Cyber forensics,5.3.3 Process of investigating and analysing evidence,Intermediate,Root cause analyses are complemented with business impact analyses to quantify and quality the approximate impact of the cyber incident.
395,Domain 5 Response and recovery,5.3 Cyber forensics,5.3.3 Process of investigating and analysing evidence,Advanced,Security investigations and forensic analysis processes are in place and are applied on a risk-based approach to determine whether to conduct a live response or off-line media analysis.
396,Domain 5 Response and recovery,5.3 Cyber forensics,5.3.4 Protection of evidence,Baseline,"Controls are in place to protect digital and forensic evidence (e.g. applying the principle of least privilege, encryption, etc.) as well as forensic tools from unauthorised access, modification, and deletion (e.g. segregation of duties, role-based access controls, etc.)."
397,Domain 5 Response and recovery,5.3 Cyber forensics,5.3.4 Protection of evidence,Intermediate,Access to audit configurations and logging records are limited to authorised users.
398,Domain 5 Response and recovery,5.3 Cyber forensics,5.3.4 Protection of evidence,Intermediate,"The information system provides real-time alerts to a defined list of staff when specific security events occur, such as attempted access by unauthorised parties."
399,Domain 5 Response and recovery,5.3 Cyber forensics,5.3.4 Protection of evidence,Advanced,The information system employs cryptographic mechanisms to protect the integrity of evidence and audit tools where applicable.
400,Domain 5 Response and recovery,5.3 Cyber forensics,5.3.4 Protection of evidence,Advanced,"The institution implements automation and orchestration with the information systems to facilitate faster and more effective (e.g. correlation, detection rate, etc.) incident response to alerts."
401,Domain 5 Response and recovery,5.3 Cyber forensics,5.3.5 Evidence retention and storage,Baseline,The retention period for digital and forensic evidence is defined per the AI’s own risk appetite and is sufficient to support after-the-fact investigations of security incidents.
402,Domain 5 Response and recovery,5.3 Cyber forensics,5.3.5 Evidence retention and storage,Intermediate,Warnings are generated to the list of authorised administrators when allocated storage reaches capacity.
403,Domain 5 Response and recovery,5.3 Cyber forensics,5.3.5 Evidence retention and storage,Intermediate,The information systems regularly backup digital and forensic evidence onto different systems or media.
404,Domain 5 Response and recovery,5.4 Communication and improvement,5.4.1 Escalation,Baseline,Communication and escalation channels exist that enable employees to report cyber events promptly.
405,Domain 5 Response and recovery,5.4 Communication and improvement,5.4.1 Escalation,Baseline,"Procedures are in place to notify (i) regulators and law enforcement agencies; (ii) customers; and (iii) third-party service providers as required or necessary (e.g. in cases of unauthorised access to or use of sensitive customer data, incidents that may result in the suspension or degradation of services, etc.)."
406,Domain 5 Response and recovery,5.4 Communication and improvement,5.4.1 Escalation,Baseline,Criteria have been established for escalating cyber incidents or vulnerabilities to Senior Management based on the potential impact and criticality of the risk.
407,Domain 5 Response and recovery,5.4 Communication and improvement,5.4.1 Escalation,Baseline,The formal communication plan (e.g. the use of social media platforms and mainstream media where applicable) is regularly reviewed and tested to ensure its effectiveness in notifying relevant parties.
408,Domain 5 Response and recovery,5.4 Communication and improvement,5.4.1 Escalation,Baseline,A list of internal and external stakeholders to be informed depending on identified scenarios and criteria is established.  Institutions also prioritise and sequence information-sharing activities with internal and external stakeholders upon incident outbreaks.
409,Domain 5 Response and recovery,5.4 Communication and improvement,5.4.1 Escalation,Intermediate,Employees who are essential to mitigate the risk (e.g. fraud and business resilience employees) understand their roles in incident escalation and communication.
410,Domain 5 Response and recovery,5.4 Communication and improvement,5.4.1 Escalation,Intermediate,"A formal communication plan has been developed containing procedures for notifying other organisations, including third parties, of incidents that may affect them or their customers, as well as for notifying the media about incidents when applicable."
411,Domain 5 Response and recovery,5.4 Communication and improvement,5.4.1 Escalation,Intermediate,The incident response team coordinates and communicates with internal and external stakeholders during or following a cyber attack.
412,Domain 5 Response and recovery,5.4 Communication and improvement,5.4.2 incident reporting,Baseline,"All cyber incidents are classified, logged, and tracked."
413,Domain 5 Response and recovery,5.4 Communication and improvement,5.4.2 incident reporting,Baseline,A process exists to contact personnel who are responsible for analysing and responding to an incident.
414,Domain 5 Response and recovery,5.4 Communication and improvement,5.4.2 incident reporting,Baseline,"A process exists to regularly notify relevant internal stakeholders (e.g. Senior Management with an agreed communication frequency, relevant stakeholders with actionable measures, etc.) and external stakeholders (e.g. potentially impacted third parties)."
415,Domain 5 Response and recovery,5.4 Communication and improvement,5.4.2 incident reporting,Intermediate,The institution has established quantitative and qualitative metrics for the cyber incident response process.
416,Domain 5 Response and recovery,5.4 Communication and improvement,5.4.2 incident reporting,Intermediate,Tracked cyber incidents are correlated for trend analysis and reporting.
417,Domain 5 Response and recovery,5.4 Communication and improvement,5.4.2 incident reporting,Intermediate,"Detailed metrics, dashboards, and/or scorecards outlining cyber incidents and events are provided to management and are part of the Board meeting package."
418,Domain 5 Response and recovery,5.4 Communication and improvement,5.4.2 incident reporting,Advanced,"The organisation employs automated mechanisms to assist in the reporting of security incidents to preserve data for investigation. Examples include user stories defined by the institution as to determine whether there are any suspicious activities, such as addition of new administrator accounts, changes applied which resulted in enabling remote access ports, access provisioning which does not meet the baseline security standards, etc."
419,Domain 5 Response and recovery,5.4 Communication and improvement,5.4.3 Improvement,Baseline,There are continuous improvement processes in place to ensure improvement is an iterative and institution-wide process.
420,Domain 5 Response and recovery,5.4 Communication and improvement,5.4.3 Improvement,Baseline,"Lessons learned from ongoing incident handling activities are incorporated into incident response procedures, training, and testing/exercises."
421,Domain 5 Response and recovery,5.4 Communication and improvement,5.4.3 Improvement,Intermediate,"A process is in place to continuously improve the incident response plan to ensure recovery from disruption of services, assurance of data integrity, and recovery of lost or corrupted data following a cyber incident."
422,Domain 5 Response and recovery,5.4 Communication and improvement,5.4.3 Improvement,Intermediate,"Simulation testing exercises are conducted to evaluate the readiness of incident response and recovery capabilities for widely reported events and different scenarios, including (i) losses of both production and backup systems and sites; (ii) massive destruction or alteration of data; or (iii) data corruption of both current and backup copies, are used to improve incident detection and response."
423,Domain 5 Response and recovery,5.4 Communication and improvement,5.4.3 Improvement,Advanced,The continuous improvement processes include proactive mechanisms such as the use of simulation testing exercises to further embed lessons learned across the institution.
424,Domain 5 Response and recovery,5.4 Communication and improvement,5.4.3 Improvement,Advanced,"All security incidents are regularly referenced to perform trend analysis to identify common factors, determine the effectiveness of controls, and understand the costs and impacts associated with cyber security incidents and improve cybersecurity measures and policies."
425,Domain 5 Response and recovery,5.4 Communication and improvement,5.4.3 Improvement,Advanced,"Trend analyses outcomes are referenced in continuous improvement initiatives, such as the institution’s improvement plan and justifying business cases."
426,Domain 6 Situational awareness,6.1 Threat Intelligence,N/A,Baseline,"The institution subscribes to one or more a threat intelligence sharing sources that provide information on cyber threats, analysis of tactics, patterns, and risk mitigation recommendations."
427,Domain 6 Situational awareness,6.1 Threat Intelligence,N/A,Baseline,The institution uses threat intelligence to monitor relevant cyber threats and enhance its cyber risk management and control.
428,Domain 6 Situational awareness,6.1 Threat Intelligence,N/A,Intermediate,A formal cyber threat intelligence programme has been implemented which includes regular evaluation of available external cyber intelligence monitoring services and which determines if it is applicable to subscribe to those threat feeds and/or supplement with internal sources where appropriate.
429,Domain 6 Situational awareness,6.1 Threat Intelligence,N/A,Intermediate,Protocols have been implemented for collecting information from industry peers and government.
430,Domain 6 Situational awareness,6.1 Threat Intelligence,N/A,Intermediate,A centralised read-only repository of cyber threat intelligence is maintained.
431,Domain 6 Situational awareness,6.1 Threat Intelligence,N/A,Advanced,A cyber intelligence framework is established for gathering cyber threat intelligence and disseminating cyber-related information with internal stakeholders for awareness or necessary action in a timely manner.
432,Domain 6 Situational awareness,6.1 Threat Intelligence,N/A,Advanced,A formal threat intelligence programme has been implemented that automatically retrieves threat intelligence from multiple sources in real time.
433,Domain 6 Situational awareness,6.1 Threat Intelligence,N/A,Advanced,The threat intelligence includes information related to geopolitical events and misinformation related to the institution propagated via cyberspace (e.g. the dark web) that could increase cybersecurity threat levels.
434,Domain 6 Situational awareness,6.1 Threat Intelligence,N/A,Advanced,A threat analysis system has been implemented that correlates threat data and then takes risk-based actions while alerting management.
435,Domain 6 Situational awareness,6.2 Threat intelligence sharing,6.2.1 Internal sharing,Baseline,"A formal protocol is in place for sharing cyber threat intelligence and incident information with employees, based on their specific job functions."
436,Domain 6 Situational awareness,6.2 Threat intelligence sharing,6.2.1 Internal sharing,Intermediate,Management communicates threat intelligence with business risk contexts and specific risk management recommendations to the business units.
437,Domain 6 Situational awareness,6.2 Threat intelligence sharing,6.2.2 External collaboration,Baseline,Law enforcement and regulator contact information is maintained and updated regularly.
438,Domain 6 Situational awareness,6.2 Threat intelligence sharing,6.2.2 External collaboration,Baseline,Intelligence about cyber threats is shared with law enforcement and regulators when required or prompted.
439,Domain 6 Situational awareness,6.2 Threat intelligence sharing,6.2.2 External collaboration,Baseline,Designated individuals have been appointed who are authorised to post information to external threat intelligence sharing sources and are trained to ensure that this does not include non-public information.
440,Domain 6 Situational awareness,6.2 Threat intelligence sharing,6.2.2 External collaboration,Intermediate,"A formal and secure process is in place to share threat and vulnerability information with other entities or via threat intelligence sharing sources, in a manner which does not violate any data privacy laws or regulations, or any internal data protection policies."
441,Domain 6 Situational awareness,6.2 Threat intelligence sharing,6.2.2 External collaboration,Intermediate,A representative from the institution participates in law enforcement or cyber threat intelligence-sharing meetings.
442,Domain 6 Situational awareness,6.2 Threat intelligence sharing,6.2.2 External collaboration,Advanced,Information-sharing agreements are used as needed or required to facilitate sharing to establish contacts with selected groups and associations within the security community and facilitate the sharing of cyber threat intelligence with other financial sector organisations or third parties.
443,Domain 6 Situational awareness,6.2 Threat intelligence sharing,6.2.2 External collaboration,Advanced,"Information is shared proactively, securely, and without violation of any data privacy laws or regulations, or any internal data protection policies, with the industry, law enforcement, regulators, and information-sharing forums."
444,Domain 6 Situational awareness,6.2 Threat intelligence sharing,6.2.2 External collaboration,Advanced,"A process is in place to communicate and collaborate with external parties, including communication with the public regarding cyber threats as applicable."
445,Domain 7 Third party risk management,7.1 External connections,7.1.1 Identify,Baseline,"Policies are in place that sufficiently cover the institution’s external connections and network-connected third parties, excluding government and public utilities."
446,Domain 7 Third party risk management,7.1 External connections,7.1.1 Identify,Baseline,Critical business processes that are dependent on external connections or network-connected third-parties have been identified.
447,Domain 7 Third party risk management,7.1 External connections,7.1.1 Identify,Baseline,"Network and systems data flow diagrams have been created that identify all external connections and network-connected third parties, and these connections have been authorised by management."
448,Domain 7 Third party risk management,7.1 External connections,7.1.1 Identify,Baseline,Network and systems’ data flow diagrams of external connections and network-connected third parties are updated after changes and reviewed annually.
449,Domain 7 Third party risk management,7.1 External connections,7.1.1 Identify,Baseline,Information about external connections and network-connected third parties is treated as confidential and managed with strict access controls.
450,Domain 7 Third party risk management,7.1 External connections,7.1.1 Identify,Intermediate,"The audit function assesses the management of external connections and network-connected third parties, excluding government and public utilities, to ensure that adequate monitoring, escalation and resolution procedures have been established and are operating effectively."
451,Domain 7 Third party risk management,7.1 External connections,7.1.1 Identify,Intermediate,"A validated asset inventory is used to create comprehensive diagrams depicting data repositories, data flow and network infrastructure of external and third-party connections, and potential areas of risk."
452,Domain 7 Third party risk management,7.1 External connections,7.1.1 Identify,Advanced,The security implications of all changes in external or third-party network connections are validated and documented before their implementation.
453,Domain 7 Third party risk management,7.1 External connections,7.1.1 Identify,Advanced,"The AI works closely with service providers to maintain and improve the security of external and third-party connections, such as end-to-end encryption for network traffic and the use of leased lines."
454,Domain 7 Third party risk management,7.1 External connections,7.1.2 Protect,Baseline,Connections to external networks or information systems are only possible through managed interfaces consisting of boundary protection devices arranged within an enterprise-wide security architecture.
455,Domain 7 Third party risk management,7.1 External connections,7.1.2 Protect,Intermediate,"Controls for external third-party connections are monitored and tested regularly by the third-party (e.g. table-top exercise, penetration test, vulnerability assessment, simulation test, etc.), with outcomes, remediation plan, and remediation status shared with the AI regularly."
456,Domain 7 Third party risk management,7.1 External connections,7.1.2 Protect,Intermediate,"Controls are in place to restrict unnecessary external network connections to the information systems, with access granted on needs-basis and per the principles of least privilege."
457,Domain 7 Third party risk management,7.1 External connections,7.1.2 Protect,Intermediate,"Security controls are designed to detect and prevent intrusions from internal, external, or third-party connections, and their effectiveness has been verified."
